Area of expertise,Region,Category,Organisation type,Experience,Job title,Salary Minimum,Salary Typical,Salary Maximum,
Медицина и фармацевтика,Сибирский ФО,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,1-4 года,Региональный менеджер по продажам / Территориальный менеджер ,160000,190000,230000,
Медицина и фармацевтика,Сибирский ФО,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,более 4х лет,Региональный менеджер по продажам / Территориальный менеджер  ,180000,200000,230000,
Медицина и фармацевтика,Уральский ФО,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,1-4 года,Региональный менеджер по продажам / Территориальный менеджер ,180000,200000,230000,
Медицина и фармацевтика,Москва и МО,Продажи и Обучение,Международная фармацевтическая компания ,1-4 года,Менеджер по распространению ,110000,130000,160000,
Медицина и фармацевтика,Москва и МО,Продажи и Обучение,Международная фармацевтическая компания ,более 4х лет,Менеджер по распространению ,150000,200000,240000,
Медицина и фармацевтика,Москва и МО,Продажи и Обучение,Российская фармацевтическая компания ,1-4 года,Коммерческий директор ,180000,250000,270000,
Медицина и фармацевтика,Москва и МО,Продажи и Обучение,Российская фармацевтическая компания ,более 4х лет,Коммерческий директор ,250000,300000,350000,
Медицина и фармацевтика,Москва и МО,Продажи и Обучение,Международная фармацевтическая компания ,1-4 года,Коммерческий директор ,350000,400000,500000,
Медицина и фармацевтика,Москва и МО,Продажи и Обучение,Международная фармацевтическая компания ,более 4х лет,Коммерческий директор ,500000,600000,750000,
Медицина и фармацевтика,Москва и МО,Продажи и Обучение,Российская фармацевтическая компания ,1-4 года,Менеджер по обучению ,130000,130000,150000,
Медицина и фармацевтика,Москва и МО,Продажи и Обучение,Российская фармацевтическая компания ,более 4х лет,Менеджер по обучению ,160000,160000,180000,
Медицина и фармацевтика,"Центральный ФО, исключая Москву и МО",Продажи и Обучение,Российская фармацевтическая компания ,1-4 года,Менеджер по обучению ,130000,150000,200000,
Медицина и фармацевтика,"Центральный ФО, исключая Москву и МО",Продажи и Обучение,Российская фармацевтическая компания ,более 4х лет,Менеджер по обучению ,150000,170000,200000,
Медицина и фармацевтика,Санкт-Петербург,Продажи и Обучение,Российская фармацевтическая компания ,1-4 года,Менеджер по обучению ,80000,95000,110000,
Медицина и фармацевтика,Санкт-Петербург,Продажи и Обучение,Российская фармацевтическая компания ,более 4х лет,Менеджер по обучению ,80000,100000,120000,
Медицина и фармацевтика,Южный ФО/Северо-Кавказский ФО/ Крым,Продажи и Обучение,Российская фармацевтическая компания ,1-4 года,Менеджер по обучению ,100000,120000,130000,
Медицина и фармацевтика,Южный ФО/Северо-Кавказский ФО/ Крым,Продажи и Обучение,Российская фармацевтическая компания ,более 4х лет,Менеджер по обучению ,120000,140000,140000,
Медицина и фармацевтика,Сибирский ФО,Продажи и Обучение,Российская фармацевтическая компания ,1-4 года,Менеджер по обучению ,100000,110000,120000,
Медицина и фармацевтика,Сибирский ФО,Продажи и Обучение,Российская фармацевтическая компания ,более 4х лет,Менеджер по обучению ,120000,140000,160000,
Медицина и фармацевтика,Уральский ФО,Продажи и Обучение,Российская фармацевтическая компания ,1-4 года,Менеджер по обучению ,100000,115000,130000,
Медицина и фармацевтика,Уральский ФО,Продажи и Обучение,Российская фармацевтическая компания ,более 4х лет,Менеджер по обучению ,120000,130000,140000,
Медицина и фармацевтика,Дальневосточный ФО,Продажи и Обучение,Российская фармацевтическая компания ,1-4 года,Менеджер по обучению ,80000,90000,110000,
Медицина и фармацевтика,Дальневосточный ФО,Продажи и Обучение,Российская фармацевтическая компания ,более 4х лет,Менеджер по обучению ,100000,140000,140000,
Медицина и фармацевтика,Приволжский ФО,Продажи и Обучение,Российская фармацевтическая компания ,1-4 года,Менеджер по обучению ,100000,110000,120000,
Медицина и фармацевтика,Приволжский ФО,Продажи и Обучение,Российская фармацевтическая компания ,более 4х лет,Менеджер по обучению ,120000,140000,140000,
Медицина и фармацевтика,Москва и МО,Продажи и Обучение,Международная фармацевтическая компания ,1-4 года,Менеджер по обучению ,130000,160000,180000,
Медицина и фармацевтика,Москва и МО,Продажи и Обучение,Международная фармацевтическая компания ,более 4х лет,Менеджер по обучению ,180000,200000,230000,
Медицина и фармацевтика,"Центральный ФО, исключая Москву и МО",Продажи и Обучение,Международная фармацевтическая компания ,1-4 года,Менеджер по обучению ,170000,180000,210000,
Медицина и фармацевтика,"Центральный ФО, исключая Москву и МО",Продажи и Обучение,Международная фармацевтическая компания ,более 4х лет,Менеджер по обучению ,160000,180000,210000,
Медицина и фармацевтика,Санкт-Петербург,Продажи и Обучение,Международная фармацевтическая компания ,1-4 года,Менеджер по обучению ,120000,125000,130000,
Медицина и фармацевтика,Санкт-Петербург,Продажи и Обучение,Международная фармацевтическая компания ,более 4х лет,Менеджер по обучению ,130000,150000,170000,
Медицина и фармацевтика,Южный ФО/Северо-Кавказский ФО/ Крым,Продажи и Обучение,Международная фармацевтическая компания ,1-4 года,Менеджер по обучению ,120000,130000,150000,
Медицина и фармацевтика,Южный ФО/Северо-Кавказский ФО/ Крым,Продажи и Обучение,Международная фармацевтическая компания ,более 4х лет,Менеджер по обучению ,140000,165000,180000,
Медицина и фармацевтика,Сибирский ФО,Продажи и Обучение,Международная фармацевтическая компания ,1-4 года,Менеджер по обучению ,120000,130000,130000,
Медицина и фармацевтика,Сибирский ФО,Продажи и Обучение,Международная фармацевтическая компания ,более 4х лет,Менеджер по обучению ,130000,150000,180000,
Медицина и фармацевтика,Уральский ФО,Продажи и Обучение,Международная фармацевтическая компания ,1-4 года,Менеджер по обучению ,120000,140000,160000,
Медицина и фармацевтика,Уральский ФО,Продажи и Обучение,Международная фармацевтическая компания ,более 4х лет,Менеджер по обучению ,130000,140000,160000,
Медицина и фармацевтика,Дальневосточный ФО,Продажи и Обучение,Международная фармацевтическая компания ,1-4 года,Менеджер по обучению ,120000,130000,130000,
Медицина и фармацевтика,Дальневосточный ФО,Продажи и Обучение,Международная фармацевтическая компания ,более 4х лет,Менеджер по обучению ,120000,130000,150000,
Медицина и фармацевтика,Приволжский ФО,Продажи и Обучение,Международная фармацевтическая компания ,1-4 года,Менеджер по обучению ,120000,130000,140000,
Медицина и фармацевтика,Приволжский ФО,Продажи и Обучение,Международная фармацевтическая компания ,более 4х лет,Менеджер по обучению ,140000,180000,200000,
Медицина и фармацевтика,Москва и МО,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,1-4 года,Менеджер по обучению ,180000,200000,250000,
Медицина и фармацевтика,Москва и МО,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,более 4х лет,Менеджер по обучению ,250000,250000,280000,
Медицина и фармацевтика,Москва и МО,Продажи и Обучение,Российская фармацевтическая компания ,1-4 года,Руководитель отдела обучения ,200000,220000,250000,
Медицина и фармацевтика,Москва и МО,Продажи и Обучение,Российская фармацевтическая компания ,более 4х лет,Руководитель отдела обучения ,220000,250000,300000,
Медицина и фармацевтика,Москва и МО,Продажи и Обучение,Международная фармацевтическая компания ,1-4 года,Руководитель отдела обучения ,220000,250000,300000,
Медицина и фармацевтика,Москва и МО,Продажи и Обучение,Международная фармацевтическая компания ,более 4х лет,Руководитель отдела обучения ,250000,350000,400000,
Медицина и фармацевтика,Москва и МО,Продажи и Обучение,Российская фармацевтическая компания ,1-4 года,Медицинский представитель ,55000,63000,70000,
Медицина и фармацевтика,Москва и МО,Продажи и Обучение,Российская фармацевтическая компания ,более 4х лет,Медицинский представитель ,60000,67000,75000,
Медицина и фармацевтика,Москва и МО,Продажи и Обучение,Международная фармацевтическая компания ,1-4 года,Медицинский представитель ,65000,70000,75000,
Медицина и фармацевтика,Москва и МО,Продажи и Обучение,Международная фармацевтическая компания ,более 4х лет,Медицинский представитель ,70000,77500,85000,
Медицина и фармацевтика,Москва и МО,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,1-4 года,Медицинский представитель ,75000,95000,115000,
Медицина и фармацевтика,Москва и МО,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,более 4х лет,Медицинский представитель ,90000,115000,140000,
Медицина и фармацевтика,Дальневосточный ФО,Продажи и Обучение,Российская фармацевтическая компания ,1-4 года,Медицинский представитель ,60000,60000,65000,
Медицина и фармацевтика,Дальневосточный ФО,Продажи и Обучение,Российская фармацевтическая компания ,более 4х лет,Медицинский представитель ,65000,65000,70000,
Медицина и фармацевтика,Дальневосточный ФО,Продажи и Обучение,Международная фармацевтическая компания ,1-4 года,Медицинский представитель ,65000,65000,70000,
Медицина и фармацевтика,Дальневосточный ФО,Продажи и Обучение,Международная фармацевтическая компания ,более 4х лет,Медицинский представитель ,70000,75000,75000,
Медицина и фармацевтика,Дальневосточный ФО,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,1-4 года,Медицинский представитель ,75000,80000,85000,
Медицина и фармацевтика,Дальневосточный ФО,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,более 4х лет,Медицинский представитель ,70000,85000,90000,
Медицина и фармацевтика,Санкт-Петербург,Продажи и Обучение,Российская фармацевтическая компания ,1-4 года,Медицинский представитель ,55000,60000,65000,
Медицина и фармацевтика,Санкт-Петербург,Продажи и Обучение,Российская фармацевтическая компания ,более 4х лет,Медицинский представитель ,60000,63000,65000,
Медицина и фармацевтика,Санкт-Петербург,Продажи и Обучение,Международная фармацевтическая компания ,1-4 года,Медицинский представитель ,60000,65000,70000,
Медицина и фармацевтика,Санкт-Петербург,Продажи и Обучение,Международная фармацевтическая компания ,более 4х лет,Медицинский представитель ,70000,75000,75000,
Медицина и фармацевтика,Санкт-Петербург,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,1-4 года,Медицинский представитель ,70000,80000,85000,
Медицина и фармацевтика,Санкт-Петербург,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,более 4х лет,Медицинский представитель ,85000,90000,93000,
Медицина и фармацевтика,"Центральный ФО, исключая Москву и МО",Продажи и Обучение,Российская фармацевтическая компания ,1-4 года,Медицинский представитель ,45000,50000,55000,
Медицина и фармацевтика,"Центральный ФО, исключая Москву и МО",Продажи и Обучение,Российская фармацевтическая компания ,более 4х лет,Медицинский представитель ,50000,53000,55000,
Медицина и фармацевтика,"Центральный ФО, исключая Москву и МО",Продажи и Обучение,Международная фармацевтическая компания ,1-4 года,Медицинский представитель ,50000,55000,60000,
Медицина и фармацевтика,"Центральный ФО, исключая Москву и МО",Продажи и Обучение,Международная фармацевтическая компания ,более 4х лет,Медицинский представитель ,55000,60000,65000,
Медицина и фармацевтика,"Центральный ФО, исключая Москву и МО",Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,1-4 года,Медицинский представитель ,55000,60000,65000,
Медицина и фармацевтика,"Центральный ФО, исключая Москву и МО",Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,более 4х лет,Медицинский представитель ,60000,65000,70000,
Медицина и фармацевтика,"Северо-Западный ФО, исключая Санкт-Петербург",Продажи и Обучение,Российская фармацевтическая компания ,1-4 года,Медицинский представитель ,50000,60000,65000,
Медицина и фармацевтика,"Северо-Западный ФО, исключая Санкт-Петербург",Продажи и Обучение,Российская фармацевтическая компания ,более 4х лет,Медицинский представитель ,65000,70000,75000,
Медицина и фармацевтика,"Северо-Западный ФО, исключая Санкт-Петербург",Продажи и Обучение,Международная фармацевтическая компания ,1-4 года,Медицинский представитель ,55000,60000,65000,
Медицина и фармацевтика,"Северо-Западный ФО, исключая Санкт-Петербург",Продажи и Обучение,Международная фармацевтическая компания ,более 4х лет,Медицинский представитель ,65000,75000,80000,
Медицина и фармацевтика,"Северо-Западный ФО, исключая Санкт-Петербург",Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,1-4 года,Медицинский представитель ,75000,85000,90000,
Медицина и фармацевтика,"Северо-Западный ФО, исключая Санкт-Петербург",Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,более 4х лет,Медицинский представитель ,80000,90000,110000,
Медицина и фармацевтика,Приволжский ФО,Продажи и Обучение,Российская фармацевтическая компания ,1-4 года,Медицинский представитель ,55000,60000,65000,
Медицина и фармацевтика,Приволжский ФО,Продажи и Обучение,Российская фармацевтическая компания ,более 4х лет,Медицинский представитель ,65000,70000,75000,
Медицина и фармацевтика,Приволжский ФО,Продажи и Обучение,Международная фармацевтическая компания ,1-4 года,Медицинский представитель ,55000,60000,65000,
Медицина и фармацевтика,Приволжский ФО,Продажи и Обучение,Международная фармацевтическая компания ,более 4х лет,Медицинский представитель ,65000,70000,75000,
Медицина и фармацевтика,Приволжский ФО,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,1-4 года,Медицинский представитель ,70000,80000,85000,
Медицина и фармацевтика,Приволжский ФО,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,более 4х лет,Медицинский представитель ,75000,85000,90000,
Медицина и фармацевтика,Сибирский ФО,Продажи и Обучение,Российская фармацевтическая компания ,1-4 года,Медицинский представитель ,53000,60000,65000,
Медицина и фармацевтика,Сибирский ФО,Продажи и Обучение,Российская фармацевтическая компания ,более 4х лет,Медицинский представитель ,57000,65000,68000,
Медицина и фармацевтика,Сибирский ФО,Продажи и Обучение,Международная фармацевтическая компания ,1-4 года,Медицинский представитель ,55000,65000,70000,
Медицина и фармацевтика,Сибирский ФО,Продажи и Обучение,Международная фармацевтическая компания ,более 4х лет,Медицинский представитель ,60000,70000,75000,
Медицина и фармацевтика,Сибирский ФО,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,1-4 года,Медицинский представитель ,65000,70000,75000,
Медицина и фармацевтика,Сибирский ФО,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,более 4х лет,Медицинский представитель ,75000,85000,90000,
Медицина и фармацевтика,Уральский ФО,Продажи и Обучение,Российская фармацевтическая компания ,1-4 года,Медицинский представитель ,53000,55000,65000,
Медицина и фармацевтика,Уральский ФО,Продажи и Обучение,Российская фармацевтическая компания ,более 4х лет,Медицинский представитель ,60000,70000,75000,
Медицина и фармацевтика,Уральский ФО,Продажи и Обучение,Международная фармацевтическая компания ,1-4 года,Медицинский представитель ,53000,60000,65000,
Медицина и фармацевтика,Уральский ФО,Продажи и Обучение,Международная фармацевтическая компания ,более 4х лет,Медицинский представитель ,60000,70000,75000,
Медицина и фармацевтика,Уральский ФО,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,1-4 года,Медицинский представитель ,70000,75000,80000,
Медицина и фармацевтика,Уральский ФО,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,более 4х лет,Медицинский представитель ,75000,85000,90000,
Медицина и фармацевтика,Южный ФО/Северо-Кавказский ФО/ Крым,Продажи и Обучение,Российская фармацевтическая компания ,1-4 года,Медицинский представитель ,60000,65000,70000,
Медицина и фармацевтика,Южный ФО/Северо-Кавказский ФО/ Крым,Продажи и Обучение,Российская фармацевтическая компания ,более 4х лет,Медицинский представитель ,65000,67000,70000,
Медицина и фармацевтика,Южный ФО/Северо-Кавказский ФО/ Крым,Продажи и Обучение,Международная фармацевтическая компания ,1-4 года,Медицинский представитель ,65000,65000,70000,
Медицина и фармацевтика,Южный ФО/Северо-Кавказский ФО/ Крым,Продажи и Обучение,Международная фармацевтическая компания ,более 4х лет,Медицинский представитель ,70000,75000,78000,
Медицина и фармацевтика,Южный ФО/Северо-Кавказский ФО/ Крым,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,1-4 года,Медицинский представитель ,70000,75000,78000,
Медицина и фармацевтика,Южный ФО/Северо-Кавказский ФО/ Крым,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,более 4х лет,Медицинский представитель ,80000,85000,90000,
Медицина и фармацевтика,Приволжский ФО,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,1-4 года,Менеджер по доступу препаратов на рыков ,170000,190000,200000,
Медицина и фармацевтика,Приволжский ФО,Продажи и Обучение,Фарма - Специализированный бизнес/сегмент,более 4х лет,Менеджер по доступу препаратов на рыков ,200000,220000,230000,
Медицина и фармацевтика,Москва и МО,Продажи и Обучение,Российская фармацевтическая компания ,более 4х лет,Территориальный менеджер по продажам ,200000,240000,250000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Российская фармацевтическая компания,1-4 года,Младший менеджер по продукции ,140000,150000,170000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Международная фармацевтическая компания,1-4 года,Младший менеджер по продукции ,140000,150000,170000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Фарма - Специализированный бизнес/сегмент,1-4 года,Младший менеджер по продукции ,140000,150000,170000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Российская фармацевтическая компания,1-4 года,Менеджер по продукции ,190000,210000,230000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Российская фармацевтическая компания,более 4х лет,Менеджер по продукции ,250000,260000,280000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Международная фармацевтическая компания,1-4 года,Менеджер по продукции ,200000,230000,250000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Международная фармацевтическая компания,более 4х лет,Менеджер по продукции ,250000,270000,300000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Фарма - Специализированный бизнес/сегмент,1-4 года,Менеджер по продукции ,280000,300000,320000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Фарма - Специализированный бизнес/сегмент,более 4х лет,Менеджер по продукции ,300000,310000,320000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Российская фармацевтическая компания,1-4 года,Старший менеджер по продукции ,250000,270000,300000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Международная фармацевтическая компания,1-4 года,Старший менеджер по продукции ,250000,270000,300000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Фарма - Специализированный бизнес/сегмент,1-4 года,Старший менеджер по продукции ,300000,320000,350000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Российская фармацевтическая компания,1-4 года,Менеджер по управлению портфелем ,250000,270000,300000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Российская фармацевтическая компания,более 4х лет,Менеджер по управлению портфелем ,270000,300000,320000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Международная фармацевтическая компания,1-4 года,Менеджер по управлению портфелем ,270000,300000,320000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Международная фармацевтическая компания,более 4х лет,Менеджер по управлению портфелем ,270000,300000,320000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Фарма - Специализированный бизнес/сегмент,1-4 года,Менеджер по управлению портфелем ,270000,300000,320000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Фарма - Специализированный бизнес/сегмент,более 4х лет,Менеджер по управлению портфелем ,270000,300000,320000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Российская фармацевтическая компания,1-4 года,Директор по управлению портфелем ,350000,400000,450000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Международная фармацевтическая компания,1-4 года,Директор по управлению портфелем ,400000,450000,500000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Фарма - Специализированный бизнес/сегмент,1-4 года,Директор по управлению портфелем ,400000,450000,500000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Российская фармацевтическая компания,1-4 года,Аналитик рынка ,120000,150000,170000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Российская фармацевтическая компания,более 4х лет,Аналитик рынка ,120000,150000,170000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Международная фармацевтическая компания,1-4 года,Аналитик рынка ,120000,150000,170000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Международная фармацевтическая компания,более 4х лет,Аналитик рынка ,120000,150000,170000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Фарма - Специализированный бизнес/сегмент,1-4 года,Аналитик рынка ,120000,150000,170000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Фарма - Специализированный бизнес/сегмент,более 4х лет,Аналитик рынка ,120000,150000,170000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Российская фармацевтическая компания,1-4 года,Директор по маркетингу ,300000,400000,600000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Российская фармацевтическая компания,более 4х лет,Директор по маркетингу ,300000,400000,600000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Международная фармацевтическая компания,1-4 года,Директор по маркетингу ,400000,450000,650000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Международная фармацевтическая компания,более 4х лет,Директор по маркетингу ,400000,450000,650000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Фарма - Специализированный бизнес/сегмент,1-4 года,Директор по маркетингу ,450000,550000,650000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Фарма - Специализированный бизнес/сегмент,более 4х лет,Директор по маркетингу ,450000,550000,650000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Российская фармацевтическая компания,1-4 года,Менеджер по развитию бизнеса ,300000,350000,400000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Российская фармацевтическая компания,более 4х лет,Менеджер по развитию бизнеса ,300000,350000,400000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Международная фармацевтическая компания,1-4 года,Менеджер по развитию бизнеса ,300000,350000,400000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Международная фармацевтическая компания,более 4х лет,Менеджер по развитию бизнеса ,300000,350000,400000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Фарма - Специализированный бизнес/сегмент,1-4 года,Менеджер по развитию бизнеса ,300000,350000,400000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Фарма - Специализированный бизнес/сегмент,более 4х лет,Менеджер по развитию бизнеса ,300000,350000,400000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Российская фармацевтическая компания,1-4 года,Директор по развитию бизнеса ,500000,750000,900000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Российская фармацевтическая компания,более 4х лет,Директор по развитию бизнеса ,500000,750000,900000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Международная фармацевтическая компания,1-4 года,Директор по развитию бизнеса ,500000,750000,900000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Международная фармацевтическая компания,более 4х лет,Директор по развитию бизнеса ,500000,750000,900000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Фарма - Специализированный бизнес/сегмент,1-4 года,Директор по развитию бизнеса ,500000,750000,900000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Фарма - Специализированный бизнес/сегмент,более 4х лет,Директор по развитию бизнеса ,500000,750000,900000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Российская фармацевтическая компания,1-4 года,Менеджер по запуску ,200000,250000,300000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Международная фармацевтическая компания,1-4 года,Менеджер по запуску ,200000,250000,300000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Фарма - Специализированный бизнес/сегмент,1-4 года,Менеджер по запуску ,200000,250000,300000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Российская фармацевтическая компания ,1-4 года,BI-Аналитик,80000,100000,120000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Российская фармацевтическая компания ,более 4х лет,BI-Аналитик,120000,130000,140000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Международная фармацевтическая компания ,1-4 года,BI-Аналитик,80000,100000,120000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Международная фармацевтическая компания ,более 4х лет,BI-Аналитик,120000,130000,140000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Фарма - Специализированный бизнес/сегмент,1-4 года,BI-Аналитик,80000,100000,120000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Фарма - Специализированный бизнес/сегмент,более 4х лет,BI-Аналитик,120000,130000,140000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Российская фармацевтическая компания ,1-4 года,BI-Менеджер   ,150000,165000,180000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Российская фармацевтическая компания ,более 4х лет,BI-Менеджер   ,160000,185000,210000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Международная фармацевтическая компания ,1-4 года,BI-Менеджер   ,160000,180000,200000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Международная фармацевтическая компания ,более 4х лет,BI-Менеджер   ,180000,200000,220000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Фарма - Специализированный бизнес/сегмент,1-4 года,BI-Менеджер   ,150000,175000,200000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Фарма - Специализированный бизнес/сегмент,более 4х лет,BI-Менеджер   ,160000,185000,210000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Российская фармацевтическая компания ,1-4 года,CRM-Аналитик  ,100000,115000,130000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Российская фармацевтическая компания ,более 4х лет,CRM-Аналитик  ,120000,130000,140000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Международная фармацевтическая компания ,1-4 года,CRM-Аналитик  ,110000,120000,130000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Международная фармацевтическая компания ,более 4х лет,CRM-Аналитик  ,120000,130000,140000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Фарма - Специализированный бизнес/сегмент,1-4 года,CRM-Аналитик  ,120000,125000,130000,
Медицина и фармацевтика,Москва и МО,Маркетинг,Фарма - Специализированный бизнес/сегмент,более 4х лет,CRM-Аналитик  ,120000,125000,140000,
